,Fundo,Emissão,Preço,DatadeEncerramento,CaptaçãoFinal,ResultadodoRateio,TipodeOferta,DatadeConversão,LiberaçãodoLockup,YouTube,Database,PeríododeNegociação,PeríododePreferência,PeríododeSobras,PeríodoPúblico,ProporçãodePreferência,ProporçãodeSobras,InvestimentoMínimo,CaptaçãoMínima,CaptaçãoMáxima,CoordenadorLíder,MétododeRateio,Observações,Documentação,PreçoTotalM
253,RECT11,3ª,"R$ 100,00",,"R$ 244.964.400,00",,Oferta Restrita (ICVM 476),,,,21.01.20,28.01 até 10.02.20,28.01 até 07.02.20Liquidação: 10.02.20,12.02 até 17.02.20Liquidação: 21.02.20,Não há,"1,0053 (100,53%)",,Não há,"R$ 1.000.000,00","R$ 300.000.000,00",Banco Fator,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=87749&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Resultado da Alocação</a></td>","R$ 100,00"
254,RECT11,4ª,"R$ 88,00",29.05.20,"R$ 100.000.032,00",,Oferta Restrita (ICVM 476),,,,24.04.20,04.05 até 15.05.20,04.05 até 14.05.20Liquidação: 15.05.20,19.05 até 22.05.20Liquidação: 28.05.20,Não há,"0,2091 (20,91%)",,Não há,"R$ 880.000,00","R$ 100.000.032,00",Banco Fator,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=101833&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Resultado de Alocação</a></td>","R$ 88,00"
255,RECT11,5ª,"R$ 100,00",,"R$ 40.389.100,00",,Oferta Restrita (ICVM 476),,,,23.06.20,Não há,30.06 até 13.07.20Liquidação: 14.07.20,16.07 até 21.07.20Liquidação: 27.07.20,Não há,"0,5479 (54,79%)",,Não há,"R$ 1.000.000,00","R$ 360.000.000,00",Banco Fator,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=109069&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Resultado de Alocação</a></td>","R$ 100,00"
256,RECT11,6ª,"R$ 85,00",01.04.21,,,Oferta Restrita (ICVM 476),14.04.21,Não há,"<td><a class=""nt_btn nt_rounded_btn"" href=""https://youtu.be/iu6jBILk0aU"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(244, 180, 0, 1);"" target=""_blank"">YouTube</a></td>",01.03.21,Não há,03.03 até 15.03.21Liquidação: 16.03.21,18.03 até 24.03.21Liquidação: 31.03.21,Não há,"0,36000006309 (36%)",,Não há,"R$ 850.000,00","R$ 213.399.725,00",Banco Fator,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://youtu.be/iu6jBILk0aU"" rel=""noopener noreferrer"" target=""_blank"">Vídeo sobre a Emissão</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=150793&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=150798&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=150800&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=161877&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão das Cotas</a></td>","R$ 85,00"
257,RECX11,1ª,"R$ 100,00",19.02.21,"R$ 19.815.100,00",,Oferta Pública (ICVM 400),17.03.21,Não há,,Não há,Não há,Não há,Não há,13.01 até 10.02.21Liquidação: 18.02.21,Não há,,"R$ 1.000,00 (10 cotas)","R$ 10.000.000,00","R$ 120.000.000,00 (R$ 100.000.000,00 + Lote Adicional de R$ 20.000.000,00)",UBS BB,Proporcional,¹ Período de Desistência: 04.02 até 10.02.21,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=144720&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=144717&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=149906&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=155204&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 100,00 (Cota de R$ 96,02 + Taxa de R$ 3,98)"
258,RELG11,1ª,,,"R$ 33.571.000,00",,Oferta Restrita (ICVM 476),,,,Não há,Não há,Não há,Não há,Não há,Não há,,Não há,,,,Não há,,,
259,RELG11,2ª,"R$ 100,00",,"R$ 59.556.400,00",,Oferta Pública (ICVM 400),14.01.21,Não há,,25.11.20,26.11 até 04.12.20,26.11 até 08.12.20Liquidação: 09.12.20,Não há,26.11 até 14.12.20Liquidação: 18.12.20,"5,95752286199 (595,75%)",,"R$ 1.000,00 (10 cotas)","R$ 1.000.000,00","R$ 240.000.000,00 (R$ 200.000.000,00 + Lote Adicional de R$ 40.000.000,00)",Órama,Igualitário (Linear),Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=128492&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Comunicado ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=128464&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=128466&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=128482&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a></td>","R$ 100,00 (Cota de R$ 96,13 + Taxa de R$ 3,87)"
260,RELG11,3ª,"R$ 98,90",29.06.21,"R$ 39.885.183,20",,Oferta Restrita (ICVM 476),08.07.21,,,07.04.21,Não há,09.04 até 22.04.21Liquidação: 23.04.21,27.04 até 30.04.21Liquidação: 07.05.21,Não há,"0,97716783675 (97,72%)",,Não há,"R$ 989.000,00","R$ 90.000.087,90",Órama,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=160809&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=160807&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=160803&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=189417&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""http://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=191003&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a> </td>","R$ 98,90 (Cota de R$ 96,73 + Taxa de R$ 2,17)"
261,RFOF11,1ª,"R$ 100,00",,,,Oferta Pública (ICVM 400),,,,Não há,Não há,Não há,Não há,07.01 até 14.02.20Liquidação: 02.02.20,Não há,,"R$ 3.000,00 ( cotas)","R$ 50.000.000,00","R$ 240.000.000,00 (R$ 200.000.000,00 + Lote Adicional de R$ 40.000.000,00)",RB Investimentos,Proporcional,,,"R$ 100,00"
262,RRCI11,1ª,"R$ 100,00",19.11.20,,,Oferta Pública (ICVM 400),26.11.20,Não há,,Não há,Não há,Não há,Não há,12.02 até 11.11.20Liquidação: 18.11.20,Não há,,"R$ 1.000,00 ( cotas)","R$ 40.706.400,00","R$ 174.456.000,00 (R$ 145.380.000,00 + Lote Adicional de R$ 29.076.000,00)",Modal,Proporcional (para valores acima de R$50 mil),"Devido à modificação da oferta, haverá um período para que investidores desistam de sua participação: 09.10 → 16.10.20.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=120559&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Modificação de Oferta</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=120560&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=128194&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociação</a></td>","R$ 100,00 (Cota de R$ 96,92 + Taxa de R$ 3,08)"
