,Fundo,Emissão,Preço,DatadeEncerramento,CaptaçãoFinal,ResultadodoRateio,TipodeOferta,DatadeConversão,LiberaçãodoLockup,YouTube,Database,PeríododeNegociação,PeríododePreferência,PeríododeSobras,PeríodoPúblico,ProporçãodePreferência,ProporçãodeSobras,InvestimentoMínimo,CaptaçãoMínima,CaptaçãoMáxima,CoordenadorLíder,MétododeRateio,Observações,Documentação,PreçoTotalM
0,AFCR11,2ª,"R$ 105,90",22.12.20,"R$ 52.766.325,12",,Oferta Restrita (ICVM 476),14.01.21,24.03.21,,19.11.20,Não há,24.11 até 04.12.20Liquidação: 07.12.20,09.12 até 14.12.20Liquidação: 21.12.20,Não há,"1,46950348 (146,95%)","7,643639338 (764,36%)",Não há,"R$ 30.000.000,00","R$ 119.999.910,40 (R$ 100.000.000,00 + Lote Adicional de R$ 19.999.910,40)",Banco Andbank,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=127267&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=127265&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=135505&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=137999&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociações</a></td>","R$ 105,90 (Cota de R$ 101,76 + Taxa de R$ 4,14)"
1,AFCR11,3ª,"R$ 105,72",06.09.21,"R$ 33.581.856,18",,Oferta Restrita (ICVM 476),21.09.21,,,27.07.21,Não há,30.07 até 11.08.21Liquidação: 12.08.21,16.08 até 19.08.21Liquidação: 26.08.21,Não há,"0,820046679 (82%)","4,131949315 (413,19%)",Não há,"R$ 30.000.050,35","R$ 100.000.099,36",Banco Andbank (Brasil) S.A.,Proporcional,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=196192&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=196915&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Comunicado de Modificação da Oferta</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=196916&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante </a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=197476&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=204544&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=211394&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=215467&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 105,72 (Cota de R$ 102,71 + Taxa de R$ 3,01)"
2,AFHI11,1ª,"R$ 100,00",04.03.21,"R$ 178.767.100,00",,Oferta Pública (ICVM 400),05.04.21,Não há,,Não há,Não há,Não há,Não há,27.01 até 25.02.21Liquidação: 03.03.21,Não há,Não há,"R$ 25.000,00 (250 cotas)","R$ 50.000.000,00","R$ 240.000.000,00 (R$ 200.000.000,00 + Lote Adicional de R$ 40.000.000,00)",XP Investimentos,Igualitário (Linear),,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=151025&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=151024&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=152529&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=158701&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão de Cotas</a></td>","R$ 100,00 (Cota de R$ 96,29 + Taxa de R$ 3,71)"
3,AFOF11,3ª,"R$ 104,47",28.06.21,"R$ 33.855.383,96",,Oferta Pública (ICVM 400),,Não há,,21.05.21,28.05 até 08.06.21,28.05 até 10.06.21Liquidação: 11.06.21,Não há,28.05 até 21.06.21Liquidação: 25.06.21,"3,26865037426 (326,87%)",Não há,"R$ 10.447,00 (100 cotas)","R$ 30.000.000,00","R$ 144.000.000,00 (R$ 120.000.000,00 + Lote Adicional de R$ 24.000.000,00)",XP Investimentos,Igualitário (Linear),,"<td><a href=""http://sistemas.cvm.gov.br/dados/ofeanal/RJ-2020-04506/20210319_Prospecto.pdf"" rel=""noopener noreferrer"" target=""_blank"">Minuta do Prospecto</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=178274&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=178486&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=178519&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188159&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=189028&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 104,47 (Cota de R$ 100,00 + Taxa de R$ 4,47)"
4,AIEC11,1ª,"R$ 1,00",08.09.20,,,Oferta Pública (ICVM 400),16.10.20,Não há,,Não há,Não há,Não há,Não há,29.07 até 25.08.20Liquidação: 02.09.20,Não há,Não há,"R$ 1.000,00 (1000 cotas)","R$ 480.000.000,00","R$ 576.000.000,00 (R$ 480.000.000,00 + Lote Adicional de R$ 96.000.000,00)",Banco J. Safra,Proporcional,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=120864&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão de Recibos</a></td>","R$ 1,00"
5,ALZR11,3ª,"R$ 115,01",,,,Oferta Restrita (ICVM 476),23.09.20,,,26.06.20,Não há,15.07 até 27.07.20Liquidação: 28.07.20,29.07 até 03.08.20Liquidação: 07.08.20,Não há,"0,4714 (47,14%)",,Não há,"R$ 1.112.100,00","R$ 180.000.057,60 (R$ 150.000.048,00 + Lote Adicional de R$ 30.000.009,60)",BTG Pactual,Não há,,,"R$ 115,01 (Cota de R$ 111,21 + Taxa de R$ 3,80)"
6,ALZR11,4ª,"R$ 117,19",09.08.21,"R$ 163.611.412,34",,Oferta Restrita (ICVM 476),24.08.21,,,08.06.21,Não há,10.06 até 22.06.21Liquidação: 23.06.21,25.06 até 30.06.21Liquidação: 07.07.21,Não há,"0,44647999635 (44,65%)","3,38575203323 (338,58%)",Não há,"R$ 10.000.127,98","R$ 272.208.000,00 (R$ 226.840.000,00 + Lote Adicional de R$ 45.368.000,00)",BTG Pactual,,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=166890&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proposta do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=166888&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Carta Consulta</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=181320&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante </a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=182930&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188422&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=201594&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""hhttps://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=202760&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=207944&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=207927&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 117,19 (Cota de R$ 113,42 + Taxa de R$ 3,77)"
7,ARCT11,3ª,"R$ 1.036,10",11.11.20,"R$ 20.081.000,00",,Oferta Restrita (ICVM 476),16.12.20,03.02.21,,09.09.20,Não há,10.09 até 22.09.20Liquidação: 23.09.20,Não há,Não há,"4,2865 (428,65%)",Não há,Não há,"R$ 20.000.000,00","R$ 120.000.000,00 (R$ 100.000.000,00 + Lote Adicional de R$ 20.000.000,00)",XP Investimentos,Não há,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=115065&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=115077&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=115636&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=115635&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante (Retificação)</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=115634&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador (Retificação)</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=125565&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=132713&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Início de Negociações</a></td>","R$ 1.036,10 (Cota de R$ 1.000,00 + Taxa de R$ 36,10)"
8,ARCT11,4ª,"R$ 106,86",22.04.21,"R$ 120.000.089,52",,Oferta Restrita (ICVM 476),20.05.21,Não há,,18.03.21,Não há,22.03 até 01.04.21Liquidação: 05.04.21,07.04 até 13.04.21Liquidação: 20.04.21,Não há,"2,68018428933 (268,02%)","0,72722385816 (72,72%)",Não há,"R$ 30.000.022,38","R$ 120.000.089,52",XP Investimentos,Não há,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=156367&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=156365&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=156545&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=161207&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=166646&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=176183&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>","R$ 106,86 (Cota de R$ 103,14 + Taxa de R$ 3,72)"
9,ARRI11,1ª,"R$ 100,00",,,,Oferta Pública (ICVM 400),,,,Não há,Não há,Não há,Não há,13.09 até 25.10.19Liquidação: 31.10.19,Não há,Não há,"R$ 1.000,00 ( cotas)","R$ 30.000.000,00","R$ 144.000.000,00 (R$ 120.000.000,00 + Lote Adicional de R$ 24.000.000,00)",,,,,"R$ 100,00 (Cota de R$ 100,00 + Taxa de R$ 0,00)"
10,ARRI11,2ª,"R$ 99,59",28.07.21,"R$ 63.272.551,00",,Oferta Restrita (ICVM 476),02.08.21,,,18.05.21,Não há,20.05 até 01.06.21Liquidação: 02.06.21,07.06 até 14.06.21Liquidação: 21.06.21,Não há,"1,66453689592073 (166,45%)","3,33595788328 (333,6%)",Não há,"R$ 20.000.016,40","R$ 75.600.042,70 (R$ 63.000.051,66 + Lote Adicional de R$ 12.599.991,04)",Órama DTVM,,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=175213&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=175221&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=175229&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=181408&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=198125&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=198123&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=199790&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 99,59 (Cota de R$ 96,46 + Taxa de R$ 3,13)"
11,ATSA11,4ª,"R$ 110,89",29.12.20,"R$ 3.965.729,94",,Oferta Restrita (ICVM 476),06.01.21,,,26.11.20,Não há,30.11 até 09.12.20Liquidação: 11.12.20,15.12 até 21.12.20Liquidação: 22.12.20,Não há,"0,0329815764925 (3,3%)","0,8648425910664 (86,48%)",Não há,"R$ 110.340,00","R$ 6.241.933,80",Hedge Investments,Não há,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=128221&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=128223&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=135769&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 110,89 (Cota de R$ 110,34 + Taxa de R$ 0,55)"
12,BARI11,2ª,"R$ 100,00",,,,Oferta Restrita (ICVM 476),,,,11.10.19,18.10 até 30.10.19,18.10 até 30.10.19Liquidação: 04.11.19,Não há,Não há,"2,043 (204,3%)",Não há,Não há,"R$ 5.000.000,00","R$ 150.000.000,00",,Não há,,,"R$ 100,00 (Cota de R$ 100,00 + Taxa de R$ 0,00)"
13,BARI11,3ª,"R$ 103,72",03.03.21,"R$ 240.000.000,00",48 cotas,Oferta Pública (ICVM 400),01.04.21,Não há,"<td><a class=""nt_btn nt_rounded_btn"" href=""https://youtu.be/ihyIeMtEHBY"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(244, 180, 0, 1);"" target=""_blank"">YouTube</a></td>",27.01.21,03.02 até 11.02.21,03.02 até 17.02.21Liquidação: 18.02.21,Não há,03.02 até 23.02.21Liquidação: 02.03.21,"0,89517861275 (89,52%)",Não há,"R$ 25.930,00 (250 cotas)","R$ 35.000.000,00","R$ 240.000.000,00 (R$ 200.000.000,00 + Lote Adicional de R$ 40.000.000,00)",XP Investimentos,Igualitário (Linear),Nenhuma,"<td><a href=""https://youtu.be/ihyIeMtEHBY"" rel=""noopener noreferrer"" target=""_blank"">Vídeo-resumo da Emissão</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=142083&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=142063&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=142064&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=150950&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Resultado da Alocação</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=152481&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=158341&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão das Cotas</a></td>","R$ 103,72 (Cota de R$ 100,00 + Taxa de R$ 3,72)"
14,BBFO11,1ª,"R$ 100,00",,"R$ 400.390.000,00",,Oferta Pública (ICVM 400),06.01.21,Não há,,Não há,Não há,Não há,Não há,23.11 até 15.12.20Liquidação: 22.12.20,Não há,Não há,"R$ 3.000,00 (30 cotas)","R$ 100.000.000,00","R$ 480.000.000,00 (R$ 400.000.000,00 + Lote Adicional de R$ 80.000.000,00)",UBS Brasil,Igualitário (Linear),Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=133967&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=133965&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=135735&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 100,00 (Cota de R$ 97,38 + Taxa de R$ 2,62)"
15,BCFF11,10ª,"R$ 84,39",04.05.21,"R$ 390.169.147,95",,Oferta Pública (ICVM 400),15.06.21,Não há,"<td><a class=""nt_btn nt_rounded_btn"" href=""https://youtu.be/KqCwSg5_Igg"" style=""color: rgba(0, 0, 0, 1);background-color: rgba(244, 180, 0, 1);"" target=""_blank"">YouTube</a></td>",12.03.21,19.03 até 29.03.21,19.03 até 31.03.21Liquidação: 01.04.21,06.04 até 09.04.21Liquidação: 16.04.21,19.04 até 27.04.21Liquidação: 03.05.21,"0,30921506341 (30,92%)","4,77005411137 (477,01%)","R$ 4.894,62 (58 cotas)","R$ 30.000.016,50","R$ 659.999.930,50 (R$ 549.999.956,50 + Lote Adicional de R$ 109.999.974,00)",BTG Pactual,Proporcional,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=164116&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=154999&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=154997&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=161040&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=157834&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Alteração de Preço</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=170567&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 84,39 (Cota de R$ 81,47 + Taxa de R$ 2,92)"
16,BCFF11,6ª,"R$ 73,65",21.06.17,"R$ 122.209.353,00",,Oferta Pública (ICVM 400),,Não há,,24.03.17,30.03 até 05.04.17,30.03 até 10.04.17Liquidação: 12.04.17,17.04 até 24.04.17Liquidação: 02.05.17,04.05 até 22.05.17Liquidação: 25.05.17,"0,4037 (40,37%)",,"R$ 1.104,75 (15 cotas)","R$ 30.000.006,00","R$ 150.000.030,00 (R$ 120.000.024,00 + Lote Adicional de R$ 30.000.006,00)",XP Investimentos,Proporcional,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=10543&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=14312&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 73,65 (Cota de R$ 70,50 + Taxa de R$ 3,15)"
17,BCFF11,7ª,"R$ 84,84",04.02.19,"R$ 202.499.919,00",,Oferta Pública (ICVM 400),,Não há,,09.08.18,16.08 até 22.08.18,16.08 até 27.08.18Liquidação: 29.08.18,31.08 até 06.09.18Liquidação: 12.09.18,13.09 até 24.01.19Liquidação: 31.01.19,"0,31126905897 (31,13%)",,"R$ 1.272,60 (15 cotas)","R$ 30.000.051,00","R$ 352.499.931,00 (R$ 150.000.012,00 + Lote Adicional de R$ 202.499.919,00)",XP Investimentos,Proporcional,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=33442&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=40592&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 84,84 (Cota de R$ 81,00 + Taxa de R$ 3,84)"
18,BCFF11,8ª,"R$ 85,00",01.11.19,"R$ 359.999.565,00",,Oferta Pública (ICVM 400),,Não há,,20.09.19,27.09 até 03.10.19,27.09 até 09.10.19Liquidação: 10.10.19,Não há,11.10 até 25.10.19Liquidação: 30.10.19,"0,4177135309097 (41,77%)",Não há,"R$ 1.275,00 (15 cotas)","R$ 30.000.070,00","R$ 360.000.024,00 (R$ 300.000.020,00 + Lote Adicional de R$ 60.000.004,00)",Guide Investimentos,Proporcional,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=59752&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=64828&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>","R$ 85,00"
19,BCFF11,9ª,"R$ 91,39",28.02.20,"R$ 720.000.030,36",,Oferta Pública (ICVM 400),18.03.20,Não há,,24.01.20,31.01 até 10.02.20,31.01 até 12.02.20Liquidação: 13.02.20,14.02 até 18.02.20Liquidação: 21.02.20,27.02 até 09.03.20Liquidação: 13.03.20,"0,517576008606939 (51,76%)",,"R$ 1.370,85 (15 cotas)","R$ 30.000.046,96","R$ 720.000.030,36 (R$ 600.000.025,30 + Lote Adicional de R$ 120.000.005,06)",Guide Investimentos,Proporcional,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=78026&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a></td>","R$ 91,39 (Cota de R$ 87,81 + Taxa de R$ 3,58)"
20,BCIA11,3ª,"R$ 123,47",26.08.20,,,Oferta Pública (ICVM 400),01.09.20,,,06.07.20,22.07 até 30.07.20,22.07 até 03.08.20Liquidação: 04.08.20,Não há,05.08 até 19.08.20Liquidação: 25.08.20,"1,0009 (100,09%)",Não há,"R$ 5.309,21 (43 cotas)","R$ 50.000.091,48","R$ 239.999.800,50 (R$ 199.999.892,88 + Lote Adicional de R$ 39.999.907,62)",Banco Bradesco,Igualitário (Linear),,,"R$ 123,47 (Cota de R$ 118,26 + Taxa de R$ 5,21)"
21,BCRI11,5ª,"R$ 110,00",,,,Oferta Restrita (ICVM 476),,,,11.10.19,Não há,18.10 até 31.10.19Liquidação: 01.11.19,Não há,Não há,"0,445 (44,5%)",Não há,Não há,"R$ 11.000.000,00","R$ 84.700.000,00",,Não há,,,"R$ 110,00 (Cota de R$ 110,00 + Taxa de R$ 0,00)"
22,BCRI11,6ª,"R$ 110,00",,,,Oferta Restrita (ICVM 476),27.04.20,,,13.02.20,20.02 até 03.03.20,20.02 até 05.03.20Liquidação: 06.03.20,09.03 até 13.03.20Liquidação: 19.03.20,Não há,"0,6 (60%)",,Não há,"R$ 11.000.000,00","R$ 165.000.000,00",Banestes DTVM,Não há,,,"R$ 110,00"
23,BCRI11,7ª,"R$ 100,00",,,,Oferta Restrita (ICVM 476),,,,23.06.20,Não há,30.06 até 13.07.20Liquidação: 14.07.20,16.07 até 21.07.20Liquidação: 27.07.20,Não há,"0,2081 (20,81%)",,Não há,"R$ 10.000.000,00","R$ 62.020.100,00",Banestes DTVM,Não há,,,"R$ 100,00"
