,Fundo,DatadeConversão,PreçonaSubscrição,Emissão,LiberaçãodoLockup,Documentos
10,KNHY11,17.09.21,"R$ 102,90",4ª,Não há,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=199789&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ata da Assembleia</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=199799&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=211390&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=211393&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=213556&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=215507&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>"
11,MCCI11,16.09.21,"R$ 100,29",5ª,Não há,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=199530&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=199672&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=199673&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href='”https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=200927&amp;cvm=true""' rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=210816&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=213630&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>"
12,IRDM11,15.09.21,"R$ 101,41",10ª,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=194352&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ata da Assembleia</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=195935&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante </a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=195931&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=201003&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=208307&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=212941&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>"
13,HCTR11,15.09.21,"R$ 119,00",10ª,,"<td><a href="" https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=197189&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=197190&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante </a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=198380&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=207149&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=210990&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=212920&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>"
14,XTED11,08.09.21,"R$ 7,46",3ª,,"<td><a href=""https://static.btgpactual.com/media/proposta-agoe-fii-trx.pdf"" rel=""noopener noreferrer"" target=""_blank"">Proposta da Administradora</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=160834&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Comunicado ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=169670&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Termo de Apuração da Consulta Formal</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=169939&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=169682&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=192087&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante </a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=192066&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=211091&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>"
15,RBRS11,06.09.21,"R$ 73,91",2ª,Não há,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=187331&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=187336&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=187334&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=194438&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=210757&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>"
16,HGLG11,01.09.21,"R$ 160,32",7ª,Não há,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=196696&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=196697&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=196698&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=196699&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=209306&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=209668&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>"
17,NEWL11,30.08.21,"R$ 103,83",2ª,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=124720&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=124815"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=209063&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>"
18,ALZR11,24.08.21,"R$ 117,19",4ª,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=166890&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proposta do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=166888&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Carta Consulta</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=181320&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante </a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=182930&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188422&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=201594&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""hhttps://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=202760&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=207944&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=207927&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>"
19,BTSG11,24.08.21,"R$ 100,00",2ª,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188668&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante </a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188659&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""http://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=190797&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=207407&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>"
