,Fundo,Emissão,TipodeOferta,Variação,Database,DatadeEncerramento,CoordenadorLíder,MétododeRateio,Observações,Informações,YouTube
10,HGIC11,2ª,476,,13.04.21,19.07.21,High Gestão e Investimentos,Não há,Nenhuma,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=162524&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=162139&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=162527&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=197469&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=197467&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>",
11,HREC11,3ª,476,,13.05.21,13.08.21,Hedge Investments,,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=172610&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=172609&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=172611&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=177995&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante – Retificação do Cronograma</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=180797&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=207535&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>",
12,HSAF11,2ª,476,,28.04.21,10.06.21,Terra Investimentos,,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=166862&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=166861&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=166865&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=174226&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href="" https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=180799&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Encerramento da Oferta</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=184102&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>",
13,MCHF11,1ª,400,,Não há,02.07.21,XP Investimentos,Igualitário (Linear),Aguardando o Prospecto Definitivo para confirmação das informações.,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=179708&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=179709&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Preliminar</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188970&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188973&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""http://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=190803&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""http://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=190811&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a> </td>",
14,MTOF11,2ª,400,Não há,01.06.21,02.12.21,Genial Investimentos,Proporcional,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=170315&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=178804&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=178787&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Preliminar</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=181082&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=192896&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Comunicado de Modificação da Oferta</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=192976&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <ahref=""https: fnet="""" fnet.bmfbovespa.com.br="""" publico="""" rel=""noopener noreferrer"" target=""_blank"" visualizardocumento?id='233364&amp;cvm=true""'>Comunicado de Modificação da Oferta</ahref=""https:></td>",
15,NEWL11,2ª,476,,05.11.20,26.08.21,Guide Investimentos,Não há,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/exibirDocumento?id=124720&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=124815"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=209063&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>",
16,PBLV11,8ª,476,Não há,18.05.21,11.06.21,BRL Trust,,,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=177720&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ata da Assembleia</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=177719&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=177721&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=184115&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a></td>",
17,PORD11,3ª,400,,28.05.21,23.06.21,XP Investimentos,Igualitário (Linear),,"<td><a href=""http://sistemas.cvm.gov.br/dados/ofeanal/RJ-2020-06079/20210409_Minuta%20do%20Prospecto%20Definitivo.pdf"" rel=""noopener noreferrer"" target=""_blank"">Minuta do Prospecto</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=179165&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=179167&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=179168&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188145&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188546&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>",
18,QIFF11,2ª,400,,04.02.21,,Genial Investimentos,Proporcional,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=144370&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=144371&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""http://sistemas.cvm.gov.br/dados/ofeanal/RJ-2021-00643/643%2020210324_ProspectoProspecto.pdf"" rel=""noopener noreferrer"" target=""_blank"">Minuta do Prospecto</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=174995&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=182222&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Proporção de Sobras</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=192859&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Comunicado de Modificação da Oferta</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=192860&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a></td>",
19,RBRR11,6ª,400,,17.05.21,22.06.21,XP Investimentos,Igualitário (Linear),,"<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=164005&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=164007&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=176805&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Início</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=176796&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Prospecto Definitivo</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=176766&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=187743&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Anúncio de Encerramento</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=193337&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>",
20,RECR11,10ª,476,,19.05.21,24.06.21,BRL Trust,Proporcional,"¹ O cotista poderá informar, junto ao exercício dos direitos de sobras, o quanto ele gostaria de adquirir de cotas no Montante Adicional.","<td><a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=175106&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Ato do Administrador</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=175196&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Fato Relevante</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=175081&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Informações sobre Direitos</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=183188&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=187187&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Rateio Montante Adicional</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=188367&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Aviso ao Mercado</a>, <a href=""https://fnet.bmfbovespa.com.br/fnet/publico/visualizarDocumento?id=191002&amp;cvm=true"" rel=""noopener noreferrer"" target=""_blank"">Conversão dos Recibos</a></td>",
